Batch_ID,Cooling_Rate_C_min,Agitation_RPM,Seed_Mass_g,Seed_Temp_C,Initial_Conc_g_L,Batch_Time_hr,Mean_Crystal_Size_um,Fines_Pct,Yield_Pct
B064,1.382,250.0,3.83,51.0,157.2,3.85,85.3,43.9,89.0
B065,1.494,263.2,3.52,54.3,155.0,3.81,87.6,41.1,87.0
B066,0.447,271.3,7.38,61.0,150.3,6.4,386.7,2.6,93.6
B067,0.368,262.9,10.75,60.9,146.4,6.99,359.8,4.7,96.0
B068,0.519,534.6,8.74,60.3,148.7,6.34,266.2,21.2,92.6
B069,0.476,228.0,9.71,59.3,157.4,6.5,366.0,4.9,92.6
B070,0.466,245.9,9.29,62.2,151.9,6.08,396.8,3.4,94.6
B071,0.467,229.9,9.53,60.3,144.2,6.01,372.1,4.0,94.1
B072,0.208,170.1,6.46,62.0,132.1,4.64,247.6,8.7,72.5
B073,0.522,258.6,9.16,59.6,151.3,6.84,376.4,4.1,92.7
B074,0.529,544.8,9.29,59.9,146.0,6.62,211.3,20.0,92.5
B075,0.217,205.2,7.74,62.1,125.7,4.67,262.9,8.9,79.5
B076,1.485,348.7,3.05,51.0,150.9,3.66,98.4,42.7,88.4
B077,0.428,503.0,11.29,60.6,151.0,6.82,216.5,19.1,93.0
B078,0.475,553.9,8.61,60.1,148.9,6.02,212.9,18.6,90.5
B079,0.505,487.2,8.25,60.4,151.7,6.24,215.4,22.5,90.6
B080,0.473,225.0,11.55,60.1,154.7,6.52,422.1,5.6,93.6
B081,0.418,534.9,8.62,60.0,144.2,6.66,224.5,22.2,92.4
B082,0.432,532.2,9.44,60.9,152.0,6.42,206.8,20.1,90.7
B083,0.195,195.9,7.52,60.1,133.2,4.85,242.5,8.3,79.2
B084,0.472,516.4,10.0,59.5,155.4,6.34,218.0,20.5,91.1
B085,1.33,304.5,3.35,51.9,157.4,3.52,113.7,39.1,86.7
B086,0.396,240.5,10.5,61.7,153.8,7.25,371.2,4.9,94.0
B087,0.427,544.3,8.84,57.3,144.5,6.32,220.2,19.0,92.0
B088,0.431,254.4,11.5,60.1,156.5,6.02,354.3,4.2,94.2
B089,1.71,265.8,3.65,52.4,161.9,3.78,112.2,40.6,86.1
B090,0.407,515.6,10.36,60.1,147.1,6.33,230.0,16.8,91.9
B091,0.418,502.2,11.35,60.6,156.1,6.55,192.4,20.0,91.8
B092,0.47,227.5,9.79,59.4,147.6,6.8,391.4,3.6,94.7
B093,0.231,170.4,8.05,62.2,135.3,4.33,289.7,8.0,76.9
B094,0.347,528.3,8.39,58.7,151.2,6.0,207.3,24.3,90.5
B095,0.399,483.2,9.25,59.5,157.7,6.41,210.6,23.8,88.5
B096,1.322,229.2,3.02,51.9,155.2,3.74,113.3,34.1,88.4
B097,0.403,259.5,9.85,59.0,148.7,6.64,374.9,3.5,94.0
B098,0.446,175.2,8.98,59.7,145.0,7.07,359.3,3.8,93.9
B099,0.247,157.9,5.83,62.3,131.7,4.92,245.8,9.1,78.1
B100,0.488,230.7,9.53,60.3,142.3,5.9,374.9,3.4,94.1
B101,0.438,515.6,9.32,56.7,144.9,6.78,247.9,20.8,91.9
B102,0.344,231.1,10.86,60.3,145.0,6.56,391.9,3.5,94.0
B103,0.386,211.8,11.47,59.7,150.3,6.0,375.2,4.3,92.6
B104,0.486,250.3,13.85,60.7,154.5,6.83,396.7,3.9,94.6
B105,1.495,322.0,3.45,51.0,163.4,3.44,75.0,40.0,84.9
B106,1.511,307.0,4.32,54.5,157.2,3.76,110.2,42.7,84.3
B107,1.523,291.8,4.26,53.5,156.3,3.78,83.1,40.0,86.2
B108,1.551,255.4,3.19,48.6,151.7,3.19,84.2,41.2,87.2
B109,0.46,567.6,6.95,60.8,156.0,5.57,208.1,20.5,89.5
B110,1.525,227.9,2.99,51.6,153.6,3.96,110.7,33.8,86.5
B111,0.613,555.4,7.76,58.0,148.5,6.31,225.4,19.5,91.4
B112,0.214,181.4,5.97,63.2,126.3,4.11,246.4,9.6,79.9
B113,0.494,222.9,8.93,60.6,149.1,6.75,393.5,4.1,93.0
B114,0.547,501.8,10.13,61.2,141.1,6.02,226.5,20.9,91.6
B115,0.376,521.6,11.27,59.2,145.0,6.21,209.5,13.9,91.1
B116,1.44,308.5,3.74,52.8,156.8,3.91,117.6,43.2,86.2
B117,0.381,228.7,10.1,59.4,143.8,6.52,365.9,4.6,92.9
B118,1.4,266.5,2.56,50.3,149.0,3.61,107.5,39.3,88.6
B119,0.384,579.1,9.64,58.7,151.9,6.26,210.6,23.2,92.1
B120,1.396,280.8,4.25,50.2,154.7,3.62,125.9,33.2,84.8
